Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22032021,770196591,0001836
Trade Date <22-MAR-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,488,FORCEMOT,EQ,17090,9055,52.98
20,489,FORTIS,EQ,8868991,2470805,27.86
20,490,FOSECOIND,EQ,2772,2290,82.61
20,491,FRETAIL,EQ,22146864,5333782,24.08
20,492,FSC,EQ,313358,108983,34.78
20,493,FSL,EQ,4194167,1304370,31.10
20,494,G5,EQ,1036,975,94.11
20,495,GABRIEL,EQ,497007,225208,45.31
20,496,GAEL,EQ,273043,81706,29.92
20,497,GAIL,EQ,17116629,3495899,20.42
20,498,GAL,EQ,197144,131241,66.57
20,499,GALAXYSURF,EQ,13553,6087,44.91
20,500,GALLANTT,EQ,25228,18683,74.06
20,501,GALLISPAT,EQ,13945,7812,56.02
20,502,GAMMNINFRA,EQ,1129235,912125,80.77
20,503,GANDHITUBE,EQ,7603,5910,77.73
20,504,GANECOS,EQ,7161,4362,60.91
20,505,GANESHHOUC,EQ,41648,38730,92.99
20,506,GANGAFORGE,SM,24000,24000,100.00
20,507,GANGESSECU,EQ,4906,2063,42.05
20,508,GARFIBRES,EQ,17224,7862,45.65
20,509,GATI,EQ,1209969,545210,45.06
20,510,GAYAPROJ,EQ,255342,181846,71.22
20,511,GBGLOBAL,EQ,17022,5406,31.76
20,512,GDL,EQ,54903,28490,51.89
20,513,GEECEE,EQ,91718,38062,41.50
20,514,GEEKAYWIRE,EQ,17898,17792,99.41
20,515,GENCON,EQ,11905,9641,80.98
20,516,GENUSPAPER,EQ,235245,145740,61.95
20,517,GENUSPOWER,EQ,197925,106097,53.60
20,518,GEOJITFSL,EQ,200195,130288,65.08
20,519,GEPIL,EQ,46412,26645,57.41
20,520,GESHIP,EQ,166957,96620,57.87
20,521,GET&D,EQ,222346,53251,23.95
20,522,GFLLIMITED,EQ,365077,210529,57.67
20,523,GHCL,EQ,100967,41958,41.56
